,0
0,BTCUSDT
1,ETHUSDT
2,BNBUSDT
3,BCCUSDT
4,NEOUSDT
5,LTCUSDT
6,QTUMUSDT
7,ADAUSDT
8,XRPUSDT
9,EOSUSDT
10,TUSDUSDT
11,IOTAUSDT
12,XLMUSDT
13,ONTUSDT
14,TRXUSDT
15,ETCUSDT
16,ICXUSDT
17,VENUSDT
18,NULSUSDT
19,VETUSDT
20,PAXUSDT
21,BCHABCUSDT
22,BCHSVUSDT
23,USDCUSDT
24,LINKUSDT
25,WAVESUSDT
26,BTTUSDT
27,USDSUSDT
28,ONGUSDT
29,HOTUSDT
30,ZILUSDT
31,ZRXUSDT
32,FETUSDT
33,BATUSDT
34,XMRUSDT
35,ZECUSDT
36,IOSTUSDT
37,CELRUSDT
38,DASHUSDT
39,NANOUSDT
40,OMGUSDT
41,THETAUSDT
42,ENJUSDT
43,MITHUSDT
44,MATICUSDT
45,ATOMUSDT
46,TFUELUSDT
47,ONEUSDT
48,FTMUSDT
49,ALGOUSDT
50,USDSBUSDT
51,GTOUSDT
52,ERDUSDT
53,DOGEUSDT
54,DUSKUSDT
55,ANKRUSDT
56,WINUSDT
57,COSUSDT
58,NPXSUSDT
59,COCOSUSDT
60,MTLUSDT
61,TOMOUSDT
62,PERLUSDT
63,DENTUSDT
64,MFTUSDT
65,KEYUSDT
66,STORMUSDT
67,DOCKUSDT
68,WANUSDT
69,FUNUSDT
70,CVCUSDT
71,CHZUSDT
72,BANDUSDT
73,BUSDUSDT
74,BEAMUSDT
75,XTZUSDT
76,RENUSDT
77,RVNUSDT
78,HCUSDT
79,HBARUSDT
80,NKNUSDT
81,STXUSDT
82,KAVAUSDT
83,ARPAUSDT
84,IOTXUSDT
85,RLCUSDT
86,MCOUSDT
87,CTXCUSDT
88,BCHUSDT
89,TROYUSDT
90,VITEUSDT
91,FTTUSDT
92,BUSDTRY
93,USDTTRY
94,USDTRUB
95,EURUSDT
96,OGNUSDT
97,DREPUSDT
98,BULLUSDT
99,BEARUSDT
100,ETHBULLUSDT
101,ETHBEARUSDT
102,TCTUSDT
103,WRXUSDT
104,BTSUSDT
105,LSKUSDT
106,BNTUSDT
107,LTOUSDT
108,EOSBULLUSDT
109,EOSBEARUSDT
110,XRPBULLUSDT
111,XRPBEARUSDT
112,STRATUSDT
113,AIONUSDT
114,MBLUSDT
115,COTIUSDT
116,BNBBULLUSDT
117,BNBBEARUSDT
118,STPTUSDT
