,0
0,ETHBTC
1,LTCBTC
2,BNBBTC
3,NEOBTC
4,QTUMETH
5,EOSETH
6,SNTETH
7,BNTETH
8,BCCBTC
9,GASBTC
10,BNBETH
11,BTCUSDT
12,ETHUSDT
13,HSRBTC
14,OAXETH
15,DNTETH
16,MCOETH
17,ICNETH
18,MCOBTC
19,WTCBTC
20,WTCETH
21,LRCBTC
22,LRCETH
23,QTUMBTC
24,YOYOBTC
25,OMGBTC
26,OMGETH
27,ZRXBTC
28,ZRXETH
29,STRATBTC
30,STRATETH
31,SNGLSBTC
32,SNGLSETH
33,BQXBTC
34,BQXETH
35,KNCBTC
36,KNCETH
37,FUNBTC
38,FUNETH
39,SNMBTC
40,SNMETH
41,NEOETH
42,IOTABTC
43,IOTAETH
44,LINKBTC
45,LINKETH
46,XVGBTC
47,XVGETH
48,SALTBTC
49,SALTETH
50,MDABTC
51,MDAETH
52,MTLBTC
53,MTLETH
54,SUBBTC
55,SUBETH
56,EOSBTC
57,SNTBTC
58,ETCETH
59,ETCBTC
60,MTHBTC
61,MTHETH
62,ENGBTC
63,ENGETH
64,DNTBTC
65,ZECBTC
66,ZECETH
67,BNTBTC
68,ASTBTC
69,ASTETH
70,DASHBTC
71,DASHETH
72,OAXBTC
73,ICNBTC
74,BTGBTC
75,BTGETH
76,EVXBTC
77,EVXETH
78,REQBTC
79,REQETH
80,VIBBTC
81,VIBETH
82,HSRETH
83,TRXBTC
84,TRXETH
85,POWRBTC
86,POWRETH
87,ARKBTC
88,ARKETH
89,YOYOETH
90,XRPBTC
91,XRPETH
92,MODBTC
93,MODETH
94,ENJBTC
95,ENJETH
96,STORJBTC
97,STORJETH
98,BNBUSDT
99,VENBNB
100,YOYOBNB
101,POWRBNB
102,VENBTC
103,VENETH
104,KMDBTC
105,KMDETH
106,NULSBNB
107,RCNBTC
108,RCNETH
109,RCNBNB
110,NULSBTC
111,NULSETH
112,RDNBTC
113,RDNETH
114,RDNBNB
115,XMRBTC
116,XMRETH
117,DLTBNB
118,WTCBNB
119,DLTBTC
120,DLTETH
121,AMBBTC
122,AMBETH
123,AMBBNB
124,BCCETH
125,BCCUSDT
126,BCCBNB
127,BATBTC
128,BATETH
129,BATBNB
130,BCPTBTC
131,BCPTETH
132,BCPTBNB
133,ARNBTC
134,ARNETH
135,GVTBTC
136,GVTETH
137,CDTBTC
138,CDTETH
139,GXSBTC
140,GXSETH
141,NEOUSDT
142,NEOBNB
143,POEBTC
144,POEETH
145,QSPBTC
146,QSPETH
147,QSPBNB
148,BTSBTC
149,BTSETH
150,BTSBNB
151,XZCBTC
152,XZCETH
153,XZCBNB
154,LSKBTC
155,LSKETH
156,LSKBNB
157,TNTBTC
158,TNTETH
159,FUELBTC
160,FUELETH
161,MANABTC
162,MANAETH
163,BCDBTC
164,BCDETH
165,DGDBTC
166,DGDETH
167,IOTABNB
168,ADXBTC
169,ADXETH
170,ADXBNB
171,ADABTC
172,ADAETH
173,PPTBTC
174,PPTETH
175,CMTBTC
176,CMTETH
177,CMTBNB
178,XLMBTC
179,XLMETH
180,XLMBNB
181,CNDBTC
182,CNDETH
183,CNDBNB
184,LENDBTC
185,LENDETH
186,WABIBTC
187,WABIETH
188,WABIBNB
189,LTCETH
190,LTCUSDT
191,LTCBNB
192,TNBBTC
193,TNBETH
194,WAVESBTC
195,WAVESETH
196,WAVESBNB
197,GTOBTC
198,GTOETH
199,GTOBNB
200,ICXBTC
201,ICXETH
202,ICXBNB
203,OSTBTC
204,OSTETH
205,OSTBNB
206,ELFBTC
207,ELFETH
208,AIONBTC
209,AIONETH
210,AIONBNB
211,NEBLBTC
212,NEBLBNB
213,BRDBTC
214,BRDETH
215,BRDBNB
216,MCOBNB
217,EDOBTC
218,EDOETH
219,WINGSBTC
220,WINGSETH
221,NAVBTC
222,NAVETH
223,NAVBNB
224,LUNBTC
225,LUNETH
226,TRIGBTC
227,TRIGETH
228,TRIGBNB
229,APPCBTC
230,APPCETH
231,APPCBNB
232,VIBEBTC
233,VIBEETH
234,RLCBTC
235,RLCETH
236,RLCBNB
237,INSBTC
238,INSETH
239,PIVXBTC
240,PIVXBNB
241,IOSTBTC
242,IOSTETH
243,CHATBTC
244,CHATETH
245,STEEMBTC
246,STEEMETH
247,STEEMBNB
248,NANOBTC
249,NANOETH
250,NANOBNB
251,VIABTC
252,VIAETH
253,VIABNB
254,BLZBTC
255,BLZETH
256,BLZBNB
257,AEBTC
258,AEETH
259,AEBNB
260,RPXBTC
261,RPXETH
262,RPXBNB
263,NCASHBTC
264,NCASHETH
265,NCASHBNB
266,POABTC
267,POAETH
268,POABNB
269,ZILBTC
270,ZILETH
271,ZILBNB
272,ONTBTC
273,ONTETH
274,ONTBNB
275,STORMBTC
276,STORMETH
277,STORMBNB
278,QTUMBNB
279,QTUMUSDT
280,XEMBTC
281,XEMETH
282,XEMBNB
283,WANBTC
284,WANETH
285,WANBNB
286,WPRBTC
287,WPRETH
288,QLCBTC
289,QLCETH
290,SYSBTC
291,SYSETH
292,SYSBNB
293,QLCBNB
294,GRSBTC
295,GRSETH
296,ADAUSDT
297,ADABNB
298,CLOAKBTC
299,CLOAKETH
300,GNTBTC
301,GNTETH
302,GNTBNB
303,LOOMBTC
304,LOOMETH
305,LOOMBNB
306,XRPUSDT
307,BCNBTC
308,BCNETH
309,BCNBNB
310,REPBTC
311,REPBNB
312,BTCTUSD
313,TUSDBTC
314,ETHTUSD
315,TUSDETH
316,TUSDBNB
317,ZENBTC
